eventId,userId,hintType,eventType,action,modalType,challengeId,exerciseId,exerciseIndex,attemptNumber,timestamp
01YWhu6Qeg1nR3A2ZKRo,OohtQ6fIyYaVBb9NMaq1i5YoeXH2,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-2,1.0,1.0,17:20:27
03d2M1SidpGy9p7mvYn1,QrjvafGaGDZUSx9UvBf14fNUUaB2,aural,hint,aural_used,,challenge-03,,,,18:29:50
05YQcdD6eRNhD4A80bCe,A9KPkqQemsemhk5534b1HMgtPJ62,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-1,0.0,1.0,06:32:02
08366jhqDZ0WY6HNuQCg,LfCBl8R3diNvLRM2041f3a51DzB3,visual,ui,modal_open,visual,challenge-02,,,,12:06:49
0B4esuO7VTzsazqgpn5X,QpOcDvlrCcOemenAqpTlhgSLT013,kinesthetic,hint,kinesthetic_run,,challenge-04,challenge-04-kinesthetic-3,2.0,1.0,18:13:31
0ECPnlaeCrsKGT5hQc3K,8jWQUtQbcnPJk8T21H1M6FTBXxn1,visual,ui,modal_open,visual,challenge-02,,,,14:50:37
0EUIJz5orMaWZWNRD39i,40lUrulKBNTcrDnIzKAGpPSGcLh2,reading,ui,modal_open,read,challenge-03,,,,12:25:12
0Ezfegjl6n6xHRGOFqql,DNbhaUu2cnbeX7FKhigqVMiNUv73,visual,ui,modal_open,visual,challenge-01,,,,19:37:11
0F3mzqb3NCnK4Ue4e3fQ,6ykimlNvkkNuzvQM4EsYRxjKG6C3,reading,ui,modal_open,read,challenge-03,,,,19:36:04
0H9a7MGQL8pXKVeBW1Mt,veogvd0RUXcijdmOVT8blk7TpEk1,aural,hint,aural_used,,challenge-01,,,,18:43:33
0LgDWWy6ZKgBpozGtgN5,A9KPkqQemsemhk5534b1HMgtPJ62,reading,ui,modal_open,read,challenge-01,,,,06:33:02
0NUByh2hKx9XJo6Sgqdv,GCvm1dWkxGVmLQjiiMlNRSL2eln1,aural,hint,aural_used,,challenge-04,,,,05:54:14
0aH5Bv6VBsUphNM4Qd7D,Q8BuHNd8HzNFLUaoEm7ZKvObHIo1,visual,ui,modal_open,visual,challenge-04,,,,07:36:32
0cERdMDsBJntlVRFJ6NY,veogvd0RUXcijdmOVT8blk7TpEk1,reading,ui,modal_open,read,challenge-01,,,,18:46:52
0fN2iv3WRyXeLcdyUzIZ,VlWN4b1pB3a5XrCkFBXN268FmRH3,aural,hint,aural_used,,challenge-04,,,,15:19:42
0gRPd333Kakct94asNQU,NBscVTaKtSMIbdAPL53zrm5s9cq2,reading,ui,modal_open,read,challenge-04,,,,13:26:04
0jDM1E69Jfc5Yz3gMtkw,oLAKiFJWv1OUrZnqa0MBZLAUVCu2,visual,ui,modal_open,visual,challenge-04,,,,12:45:11
0jUgIpUIayPBjJkXBkRC,GXy533qOsQSoWSylQEvuEX3aYMV2,visual,ui,modal_open,visual,challenge-03,,,,14:02:23
0jXUDpv6ivcdmjDENRZk,nmTYkEGfwMNEy4zKEpGBXwU5cWZ2,reading,ui,modal_open,read,challenge-04,,,,18:40:48
0nUcs88MCPDYpufodPwi,pLH0XRvWYNbAIbEgU6I4U8Eg6bw1,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-3,2.0,1.0,12:22:41
0pkhllanqXBVkHZy7Q8Q,5j6dWJ6aJ9a6j7FA5bmLNjjnnYp1,reading,ui,modal_open,read,challenge-02,,,,17:21:40
